objective,arch,cohort,task,auroc_mean,auroc_std,prauc_mean,prauc_std,n_seeds
recon,cnn,shanghait2dm,insulin_resistance,0.45531746031746034,0.23690012601317967,0.7116692365835222,0.17247206217757086,3
recon,dual,cgmacros,diabetes_risk,0.7274625689519306,0.2505636863621085,0.8496729708431836,0.15632748024660612,3
recon,dual,cgmacros,hyperlipidemia,0.35439322301024423,0.22479001215795802,0.5728526398739165,0.19491233671004907,3
recon,dual,cgmacros,hypoglycemia,0.645880574452003,0.2848177709781463,0.7350151171579743,0.22882255324618747,3
recon,dual,cgmacros,insulin_resistance,0.5749322493224932,0.30452716222275855,0.7889724480578139,0.1752339902900024,3
recon,dual,cgmacros,obesity,0.2282123960695389,0.1932545536363943,0.4981103552532124,0.14775381756432937,3
recon,dual,shanghait2dm,diabetes_risk,0.8036657247073914,0.10865246445957466,0.8841866379211617,0.09598188778571293,3
recon,dual,shanghait2dm,hyperlipidemia,0.42560846560846555,0.15180891477447914,0.6289999360574757,0.14568246341204014,3
recon,dual,shanghait2dm,insulin_resistance,0.483718253968254,0.19103647204056562,0.7210090325018896,0.1693294730516268,3
recon,plain,cgmacros,diabetes_risk,0.5074862096138691,0.2798800141308355,0.7321079590228528,0.17831230054857303,3
recon,plain,cgmacros,hyperlipidemia,0.36607565011820326,0.23058774885414648,0.5890051221434199,0.20958166512566914,3
recon,plain,cgmacros,hypoglycemia,0.7227324263038549,0.258895508603588,0.7799981103552532,0.21544653233883646,3
recon,plain,cgmacros,insulin_resistance,0.45700090334236676,0.2801173926781015,0.7344986449864498,0.19756589349426149,3
recon,plain,cgmacros,obesity,0.3647392290249434,0.26762961649704425,0.5885071806500378,0.16474463150654514,3
recon,plain,shanghait2dm,diabetes_risk,0.8339603174603175,0.09583487300981403,0.9131509855738029,0.06856828042507314,3
recon,plain,shanghait2dm,hyperlipidemia,0.5291402116402116,0.17663884811712402,0.6884658047787017,0.14115835011750744,3
recon,plain,shanghait2dm,insulin_resistance,0.43364285714285716,0.23687593868379264,0.69733820861678,0.1752538374332627,3
