mode,model,30m_rmse,30m_mae,60m_rmse,60m_mae,120m_rmse,120m_mae,extrema_mae
rising,Persistence,15.879073143005371,13.14415168762207,23.46170425415039,19.894798278808594,28.587011337280273,24.374675750732422,32.33540344238281
rising,Linear_Momentum,18.28325843811035,15.835698127746582,34.6463508605957,29.48541259765625,53.51237869262695,46.79401397705078,43.31697463989258
rising,LSTM_Unconstrained,17.60790252685547,15.479086875915527,24.62967872619629,21.44890022277832,28.825626373291016,25.000062942504883,28.57939338684082
rising,Triggered_Dynamics,13.96647834777832,11.35204029083252,22.831716537475586,19.092594146728516,27.673175811767578,23.66062355041504,22.118120335644075
falling,Persistence,13.240243911743164,11.028006553649902,19.430002212524414,16.59079360961914,25.72270393371582,22.083276748657227,29.752065658569336
falling,Linear_Momentum,15.308879852294922,13.29452896118164,26.28402328491211,22.73162841796875,39.03361129760742,34.318546295166016,31.546443939208984
falling,LSTM_Unconstrained,15.163032531738281,13.64040756225586,20.482240676879883,18.03318977355957,26.734264373779297,23.254858016967773,29.097097396850586
falling,Triggered_Dynamics,10.908367156982422,8.88698959350586,16.65471076965332,13.875772476196289,22.585851669311523,18.873891830444336,17.47668535617429
