objective,arch,auroc_mean,prauc_mean,rank_prauc
mcr,cnn,0.5462169618095133,0.7243236700395488,1
mcr,plain,0.5356908681728616,0.7228790456385982,2
causal,plain,0.5401266302108401,0.7202962523323874,3
recon,cnn,0.5329032755735161,0.720013597406837,4
causal,dual,0.5297134206608416,0.7167889078417156,5
recon,plain,0.526847225580828,0.7153840020159122,6
recon,dual,0.5304841820112901,0.7098523922083285,7
mcr,dual,0.5201254122902125,0.708279203761313,8
causal,cnn,0.5163826725238284,0.7081438402406139,9
