model,30m_rmse,30m_mae,60m_rmse,60m_mae,120m_rmse,120m_mae
Persistence,16.216020584106445,14.333332061767578,21.769744873046875,19.04566192626953,27.640941619873047,23.751142501831055
LSTM,14.97413158416748,13.101175308227539,20.18572425842285,17.52683448791504,24.847774505615234,21.37517547607422
GRU,14.890653610229492,13.11244010925293,20.145851135253906,17.545072555541992,24.785120010375977,21.347496032714844
